ICAO,Airport Name,Airport Name Farsi,City,City Farsi
OIIX,IRAN Tehran FIR,,Tehran,فضای کشور
OIII,Mehrabad International Airport,,,
OIIE,Imam Khomeini International Airport,,,
OIMM,Mashhad International Airport,,,
OISS,Shiraz Shahid Dastghaib International Airport,,,
OIFM,Isfahan Shahid Beheshti International Airport,,,
OITT,Tabriz International Airport,,,
OIBK,Kish International Airport,,,
OIKB,Bandar Abbas International Airport,,,
OIYY,Shahid Sadooghi Airport,,,
OIAW,Ahwaz International Airport,,,
OIBB,Bushehr Airport,,,
OICC,Shahid Ashrafi Esfahani Airport,,,
OIGG,Rasht Sardar-e-Jangal Airport,,,
OIKK,Kerman Ayatollah Hashemi Rafsanjani International Airport,,,
OIZH,Zahedan International Airport,,,
OITL,Ardabil Airport,,,
OIHH,Hamadan Airport,,,
OIBP,Persian Gulf International Airport,,,
OIAA,Abadan Airport,,,
OIAD,Dezful Airport,,,
OIAG,Aghajari Airport,,,
OIAH,Gachsaran Airport,,,
OIAI,Shahid Asiyaee Airport,,,
OIAJ,,,,
OIAM,Mahshahr Airport,,,
OIBA,Abu Musa Island Airport,,,
OIBH,Bastak Airport,,,
OIBJ,Jam Airport,,,
OIBL,Bandar Lengeh International Airport,,,
OIBQ,Khark Airport,,,
OIBS,Siri Airport,,,
OIBV,Lavan Airport,,,
OIBX,,,,
OICI,Ilam Airport,,,
OICK,Khoram Abad Airport,,,
OICS,Sanandaj Airport,,,
OIFE,,,,
OIFH,Shahid Vatanpour Army Air Base,,,
OIFK,Kashan Airport,,,
OIFP,Badr Air Base,,,
OIFS,Shahrekord Airport,,,
OIHR,Arak Airport,,,
OIHS,Nojeh Air Base,,,
OIIB,,,,
OIID,Doshan Tappeh Airport,,,
OIIF,Fat`h Airport,,,
OIIK,Qazvin Airport,,,
OIIM,Naja Airport,,,
OIIP,Payam Karaj International Airport,,,
OIIS,Semnan Municipal Airport,,,
OIKJ,Jiroft Airport,,,
OIKM,Bam Airport,,,
OIKP,Havadarya Airport,,,
OIKQ,Qeshm Dayrestan International Airport,,,
OIKR,Rafsanjan Airport,,,
OIKY,Sirjan Airport,,,
OIMB,Birjand International Airport,,,
OIMC,Sarakhs Airport,,,
OIMG,,,,
OIMJ,,,,
OIMN,Bojnord Airport,,,
OIMQ,,,,
OIMS,Sabzevar National Airport,,,
OIMT,Tabas Airport,,,
OINE,,,,
OING,Gorgan Airport,,,
OINJ,Bishe Kola Air Base,,,
OINN,Nowshahr Airport,,,
OINR,Ramsar Airport,,,
OINZ,Sari Dasht-e Naz International Airport,,,
OISF,Fasa Airport,,,
OISJ,,,,
OISL,Lar Airport,,,
OISO,,,,
OISR,Lamerd Airport,,,
OISY,Yasuj Airport,,,
OITK,,,,
OITM,Sahand Airport,,,
OITP,Parsabad-Moghan Airport,,,
OITR,Urmia Airport,,,
OITU,Maku National Airport,,,
OITZ,Zanjan Airport,,,
OIYP,,,,
OIYR,,,,
OIZB,Zabol Airport,,,
OIZC,Chabahar Konarak International Airport,,,
OIZI,Iranshahr Airport,,,
OIZS,,,,
